-4254.502 69687.498
-83754.455 -94164.455
21977.128 49374.128
No Collision
No Collision
No Collision
No Collision
No Collision
-58357.495 92915.505
No Collision
No Collision
No Collision
-342987.773 -379888.773
No Collision
No Collision
No Collision
-3562667.868 -3624005.868
-3747.324 136035.676
-80337.583 -16787.583
-57536.449 -40987.449
441499.150 344078.150
3023.977 86486.977
No Collision
No Collision
65927.789 78076.789
13192.772 57224.772
No Collision
-764963.020 -627214.020
-54935.649 -40170.649
65095.840 110990.840
22513.108 37197.108
-134390.908 -226323.908
71396.719 62990.719
No Collision
No Collision
5400673.594 5470168.594
-33172.935 -128255.935
-103916.593 -89559.593
No Collision
No Collision
No Collision
-7287.022 -128794.022
No Collision
63738.596 -17820.404
-5817.772 106522.228
No Collision
-88154.135 -99144.135
No Collision
No Collision
399376.008 284903.008
No Collision
-74391.173 -42742.173
1062076.709 888542.709
No Collision
No Collision
-15385924.007 -15527679.007
No Collision
No Collision
No Collision
-548503.920 -566250.920
No Collision
No Collision
No Collision
-158088.281 -86395.281
636110.715 762504.715
-182749.175 -131151.175
No Collision
No Collision
No Collision
-535945.280 -649681.280
167020.781 86952.781
65297.297 83901.297
No Collision
No Collision
No Collision
14049.866 139332.866
No Collision
1658749.504 1719560.504
-181044.436 -218849.436
17517.380 41755.380
No Collision
43037.349 -33854.651
-14213.639 -90203.639
35028.921 78099.921
No Collision
No Collision
No Collision
No Collision
No Collision
28879.861 84882.861
No Collision
No Collision
-88242.563 -84529.563
3932.159 -20167.841
43029.843 68658.843
No Collision
19105.417 86088.417
-322121.434 -188954.434
No Collision
No Collision
No Collision
No Collision
No Collision
No Collision
-15728.488 -63093.488
219235.560 112684.560
No Collision
-25443.012 24394.988
No Collision
-104433.471 -149974.471
No Collision
No Collision
-72701.620 -74778.620
-53573.805 -97098.805
-986971.604 -808407.604
2801799.748 2904144.748
No Collision
No Collision
No Collision
187358.074 48680.074
No Collision
No Collision
-150924.729 -81887.729
-177862.447 -3964.447
46950.806 44424.806
No Collision
No Collision
-14093.517 -31593.517
No Collision
No Collision
-122251.832 -225092.832
No Collision
-4103.951 5544.049
No Collision
No Collision
-50212.031 103387.969
No Collision
-38101.249 122033.751
-39947.360 -45604.360
No Collision
22680.366 -1489.634
No Collision
No Collision
No Collision
No Collision
-150796.242 -168824.242
23204.047 -43357.953
No Collision
No Collision
No Collision
125598.872 -11426.128
No Collision
No Collision
214067.806 162782.806
No Collision
-61461.518 -69687.518
104315.892 35829.892
No Collision
-106074.293 -18309.293
No Collision
No Collision
943083.837 877434.837
-187941.368 -311841.368
No Collision
-40839.711 -118909.711
No Collision
-108765.884 -57214.884
104623.945 47123.945
111257.692 142712.692
No Collision
No Collision
No Collision
No Collision
No Collision
-5995.724 -23845.724
No Collision
83432.188 -40552.812
322094.393 360060.393
No Collision
No Collision
12824.621 -75419.379
No Collision
No Collision
106089.159 66180.159
462246.448 385476.448
-80563.473 -69001.473
No Collision
27152.793 -78987.207
No Collision
No Collision
28599.175 174718.175
25566.303 101334.303
No Collision
No Collision
No Collision
-91390.796 73648.204
No Collision
No Collision
-1221.420 -188503.420
No Collision
No Collision
No Collision
-28195.265 63459.735
66973.958 82144.958
38518.174 1101.174
No Collision
No Collision
No Collision
-49085.593 -75566.593
-99365.764 -76563.764
8585.591 -11146.409
No Collision
No Collision
No Collision
52965.688 82935.688
10918.191 67299.191
-95972.728 -9658.728
-2427503.299 -2275319.299
26859.374 78240.374
No Collision
-1092129.638 -1061398.638
-126238.463 -67051.463
13090.518 -122175.482
No Collision
233875.011 93878.011
No Collision
-306209.422 -484400.422
No Collision
No Collision
-94052.975 -36882.975
No Collision
No Collision
-78790.821 -109011.821
No Collision
No Collision
No Collision
No Collision
No Collision
No Collision
26106.274 19709.274
No Collision
-755856.573 -871915.573
-224168.417 -134522.417
-177491.370 -247688.370
-208120.813 -125186.813
No Collision
No Collision
No Collision
6798243.176 6684651.176
-502337.758 -611042.758
1856839.780 1796492.780
11829.762 34979.762
No Collision
No Collision
No Collision
-59005.172 -2359.172
No Collision
No Collision
No Collision
No Collision
No Collision
-41800.491 52236.509
-24409.673 -1034.673
No Collision
6943.763 -81518.237
No Collision
846219.482 895593.482
3495.775 39304.775
No Collision
121438.212 53493.212
89688.370 -47318.630
No Collision
No Collision
No Collision
No Collision
-139036.248 -151667.248
-194714.908 -141838.908
No Collision
No Collision
No Collision
No Collision
No Collision
No Collision
127568.374 214272.374
No Collision
No Collision
196456.527 159890.527
-100675.615 -64266.615
No Collision
No Collision
No Collision
No Collision
87040.523 -29964.477
No Collision
-324958.319 -193793.319
-58018.502 -18199.502
-48331.015 8876.985
5156.669 -11727.331
No Collision
-219282.045 -155218.045
No Collision
85406.841 71352.841
No Collision
No Collision
No Collision
No Collision
No Collision
33389.951 60647.951
No Collision
2867319.333 2911111.333
No Collision
No Collision
No Collision
-21682.283 -30241.283
No Collision
36613.807 6569.807
-113203.069 -14414.069
No Collision
No Collision
No Collision
-21677.598 81166.402
11232.132 25415.132
No Collision
16219314.227 16125035.227
No Collision
No Collision
36785.004 14310.004
303244.802 253472.802
No Collision
18268.679 -5762.321
77806.359 67159.359
No Collision
No Collision
-39857.547 -27558.547
-94195.001 -35537.001
-13211.706 39200.294
No Collision
No Collision
No Collision
No Collision
93852.219 8995.219
21006.885 -32993.115
-53870.285 -50176.285
No Collision
No Collision
No Collision
No Collision
-86059.663 57658.337
-2036.344 13434.656
-115069.181 -136765.181
No Collision
No Collision
154701.631 25759.631
No Collision
49142.251 72121.251
-89639.859 -76574.859
No Collision
No Collision
-484762.329 -376560.329
No Collision
-13166.387 49374.613
61.589 28967.589
64992.964 35380.964
-41708.851 -28795.851
No Collision
No Collision
No Collision
No Collision
263572.581 335765.581
No Collision
-51009.183 88944.817
No Collision
No Collision
No Collision
89691.324 72587.324
49044.701 28320.701
No Collision
No Collision
No Collision
No Collision
6806.231 112258.231
806366.885 859566.885
1173002.769 1094947.769
15210.568 90605.568
No Collision
No Collision
95134.442 -61824.558
No Collision
-1924382.413 -1900190.413
63090.032 15049.032
No Collision
-20027.642 -126102.642
398957.161 325440.161
No Collision
No Collision
No Collision
13215.225 -40782.775
-13520.152 -34679.152
No Collision
-71086.477 -111699.477
No Collision
-1070711.955 -1009273.955
59705.437 -25628.563
-70595.288 -122318.288
1656.440 25618.440
No Collision
56711.527 54231.527
No Collision
No Collision
No Collision
-165807.368 -120292.368
-112154.548 -232231.548
-185092.332 -89307.332
No Collision
No Collision
-11218473.217 -11121840.217
No Collision
No Collision
No Collision
No Collision
No Collision
No Collision
No Collision
No Collision
-5295.275 -45942.275
165031.091 38131.091
87170.882 81029.882
No Collision
No Collision
No Collision
No Collision
766546.473 878172.473
28512.776 55481.776
-28431.161 60583.839
No Collision
No Collision
No Collision
No Collision
38688.212 14504.212
No Collision
No Collision
-505372.928 -310880.928
No Collision
No Collision
-290149.673 -157692.673
No Collision
39851.504 71166.504
No Collision
112574.532 104037.532
-56630.224 -130077.224
No Collision
No Collision
35171.295 54965.295
-37883.755 45763.245
-81674.508 16865.492
No Collision
No Collision
No Collision
No Collision
No Collision
49724.688 -57836.312
No Collision
No Collision
31795.936 87693.936
159049.679 61229.679
No Collision
121517.256 2911.256
-643283.209 -543937.209
No Collision
-61489.699 -30687.699
No Collision
No Collision
65669.696 -50411.304
No Collision
No Collision
No Collision
-103652.897 -477.897
1782.156 -26067.844
No Collision
183823.921 197701.921
-85956.737 -72728.737
No Collision
-45806.185 -39043.185
No Collision
-50812.383 -4761.383
No Collision
-485082.993 -415790.993
No Collision
No Collision
No Collision
No Collision
No Collision
No Collision
10009.098 -60367.902
65441.834 14759.834
No Collision
-46752.103 52531.897
No Collision
No Collision
No Collision
-37881.322 -8128.322
No Collision
-83855.525 -91335.525
-114456.323 13389.677
-155535.869 -42391.869
36064.147 -47326.853
No Collision
No Collision
No Collision
-1816435.877 -1875545.877
9427.946 -1983.054
90652.954 67493.954
No Collision
-52268.539 4850.461
-1192579.825 -1098675.825
55780.560 -64634.440
2430.612 74672.612
116026.911 154095.911
-110654.612 -85884.612
No Collision
No Collision
-455.312 -18647.312
103331.720 167938.720
-464264.121 -385969.121
281957.309 119596.309
No Collision
No Collision
No Collision
182126.387 152737.387
-51367.699 -12858.699
6102.549 -82927.451
-29061.028 -36156.028
No Collision
136360.453 47616.453
6846.030 22527.030
90484.591 62403.591
-6593.445 -59868.445
No Collision
-21247.807 5448.193
No Collision
No Collision
-238014.526 -115128.526
No Collision
-31976.788 -19712.788
No Collision
-45446.113 -104952.113
29462.712 -63361.288
159703.722 194234.722
No Collision
-25819.997 -29918.997
No Collision
No Collision
No Collision
64072.646 76581.646
-65288.489 -33362.489
No Collision
123629.172 32683.172
-104419.616 -88188.616
No Collision
No Collision
No Collision
-229297.362 -205473.362
45426932.512 45322368.512
No Collision
35132.534 73477.534
27575.225 28310.225
-31895.089 -48742.089
109872.417 47683.417
-164912.847 -195583.847
-4668645.223 -4630320.223
1926207.509 1791163.509
No Collision
60573.457 59576.457
845843.824 1024705.824
No Collision
No Collision
No Collision
No Collision
133210.502 -8653.498
No Collision
-20112.854 -44368.854
No Collision
No Collision
No Collision
No Collision
2663.662 -11001.338
No Collision
No Collision
No Collision
No Collision
No Collision
No Collision
No Collision
-16514.953 -37350.953
No Collision
-130816.532 11197.468
-690466.862 -592721.862
-24496.438 -34031.438
346451.436 303963.436
234845.120 104820.120
No Collision
42620.863 -16145.137
209026.634 230758.634
No Collision
No Collision
No Collision
52386.516 -2269.484
49838.133 20160.133
-45567.639 -183332.639
-30225.320 -70102.320
No Collision
No Collision
-76506.392 -117884.392
49736.641 64039.641
-70162.032 -131134.032
48128.853 148601.853
No Collision
No Collision
-764634.496 -901049.496
82763.434 78049.434
31781.665 -55884.335
No Collision
126290.162 202533.162
-33589.619 -19991.619
-381941.672 -407591.672
-33914.270 -12431.270
No Collision
No Collision
No Collision
No Collision
No Collision
135537.454 239685.454
-113764.769 -16235.769
No Collision
15363.556 -66431.444
No Collision
No Collision
24557.603 80080.603
130649.193 143053.193
-23884.212 67969.788
78836.585 136828.585
No Collision
No Collision
No Collision
No Collision
No Collision
-48520.922 84366.078
No Collision
No Collision
No Collision
83018.341 -4346.659
648587.040 511496.040
No Collision
No Collision
-93230.724 -80081.724
-62984.601 -8581.601
No Collision
No Collision
-158691.509 31249.491
3055113.172 3233920.172
-57283.293 -94687.293
No Collision
86297.801 -48267.199
No Collision
No Collision
7258.057 53551.057
-2435315.186 -2321725.186
-61252.387 -24565.387
-119541.383 62561.617
No Collision
No Collision
No Collision
252960.073 304924.073
-63983.531 -55162.531
32407.159 -38771.841
No Collision
71772.600 7480.600
No Collision
No Collision
-105929.171 -11515.171
10171.584 -28789.416
-66562.171 -53482.171
No Collision
No Collision
126121.227 -4631.773
No Collision
16102.537 74731.537
No Collision
-32736.395 -19598.395
-18665.616 948.384
-596108.264 -775252.264
No Collision
No Collision
2366641.590 2512561.590
-82253.336 4321.664
No Collision
-77123.622 19786.378
No Collision
No Collision
-78060.639 80207.361
No Collision
No Collision
No Collision
62827.796 -44136.204
-1045564.338 -1085740.338
No Collision
No Collision
-20517.913 99061.087
-205767.869 -178562.869
No Collision
No Collision
No Collision
34346.280 -6700.720
1982.819 49817.819
-167047.780 -126424.780
-49379.702 47609.298
No Collision
No Collision
No Collision
-24269.494 41295.506
86281.254 88920.254
No Collision
249607.208 219676.208
No Collision
No Collision
No Collision
-60816.766 -73346.766
No Collision
-809203.961 -773054.961
No Collision
No Collision
-2248813.844 -2161278.844
79465.546 -32691.454
45570.276 48310.276
75546.235 25371.235
No Collision
No Collision
-49129.273 103274.727
71218.680 116293.680
325703.888 244264.888
No Collision
No Collision
-2029.773 56879.227
No Collision
1979506.583 2063263.583
No Collision
-4244.329 82668.671
No Collision
-56066.422 -57143.422
-51709.455 -138415.455
No Collision
No Collision
No Collision
No Collision
No Collision
No Collision
-125543.709 -224993.709
158409.465 83367.465
-3067.106 -29190.106
No Collision
No Collision
28958.339 49169.339
-42873.792 -75484.792
No Collision
15317.978 -29870.022
68816.523 97301.523
No Collision
-16147.752 30225.248
No Collision
No Collision
36294.507 -112540.493
20075.878 -56546.122
-616601.262 -503101.262
No Collision
No Collision
-62266.267 -154766.267
20401.462 29943.462
No Collision
-752722.874 -876061.874
No Collision
-136481.191 -211970.191
No Collision
-171369.446 -122352.446
No Collision
No Collision
-57141.339 -57732.339
-25688.348 73120.652
120298.580 92302.580
No Collision
No Collision
-52306.930 115739.070
-552354.303 -587592.303
57676.191 -75346.809
-33282.883 -11315.883
No Collision
-107002.768 -22007.768
No Collision
No Collision
-152683084.349 -152820709.349
No Collision
-22431.344 62620.656
No Collision
No Collision
No Collision
-1607278.611 -1561866.611
No Collision
-49437.295 -10141.295
71882.938 107789.938
191338.238 154952.238
No Collision
-2081.558 90287.442
87277.744 29067.744
-23791.787 -75742.787
No Collision
1373084.398 1207254.398
-1720619.761 -1798940.761
16291.317 28538.317
-221591.210 -403624.210
No Collision
No Collision
-81282.146 -140237.146
-42453.576 -46277.576
-290527.031 -369171.031
No Collision
-331520.844 -455498.844
13096.522 10230.522
183530.585 281643.585
No Collision
No Collision
-225314.386 -132209.386
No Collision
No Collision
No Collision
-668469.347 -612801.347
No Collision
No Collision
-109985.329 2339.671
No Collision
173470.744 284649.744
69502.013 -33322.987
No Collision
-107897.016 8731.984
No Collision
No Collision
30654.754 68550.754
-38450.715 14387.285
No Collision
No Collision
37500.752 39690.752
No Collision
1607570.240 1529506.240
-25140.509 8986.491
-487479.494 -528035.494
No Collision
51376.956 21918.956
No Collision
138894.747 167167.747
No Collision
No Collision
19657.421 -2604.579
-79794.339 -184367.339
No Collision
85242.528 61435.528
No Collision
-379.192 -85641.192
No Collision
23022.113 -65110.887
21045.995 48636.995
No Collision
No Collision
-77006.473 -53536.473
11277.323 26872.323
112601.374 22966.374
No Collision
-23235.214 -92409.214
No Collision
No Collision
No Collision
No Collision
No Collision
485772.437 409074.437
No Collision
No Collision
No Collision
No Collision
No Collision
-24350.440 8524.560
29701.279 119519.279
470093.968 587024.968
No Collision
-207340.115 -285982.115
No Collision
143268.919 102258.919
No Collision
No Collision
No Collision
614970.768 445345.768
No Collision
1031307.772 996270.772
-51933.193 -31528.193
No Collision
-35083.191 54679.809
No Collision
No Collision
50428.007 -41317.993
55486.353 44251.353
No Collision
No Collision
27272.097 108810.097
No Collision
-542384.883 -415272.883
57788.235 39218.235
No Collision
-656313.502 -563403.502
208559.996 270701.996
No Collision
No Collision
-91884.856 -68731.856
No Collision
71286.203 75081.203
-55169.978 -88906.978
11517.487 53149.487
3241138.490 3198348.490
4289.217 43882.217
39201.648 196203.648
No Collision
-42360.300 36172.700
No Collision
No Collision
No Collision
-17491.428 -68148.428
55634.708 715.708
No Collision
No Collision
No Collision
No Collision
No Collision
No Collision
106343.154 30618.154
No Collision
19221.412 8383.412
No Collision
No Collision
No Collision
14402.416 -85087.584
No Collision
-526364.410 -639305.410
26104.968 26470.968
-4935.302 -110131.302
42999.337 -13874.663
15858.887 112173.887
5325.596 -27158.404
-44418.304 -173579.304
357127.298 258262.298
66183.270 114395.270
No Collision
78719.723 100718.723
No Collision
No Collision
1073781.033 1161385.033
-58807.390 -70210.390
-439795.632 -601553.632
No Collision
No Collision
No Collision
90423.254 106786.254
153113.181 97045.181
No Collision
No Collision
-410947.430 -322850.430
No Collision
42567.427 -71661.573
No Collision
108677.670 143621.670
44365.977 28049.977
No Collision
-41187.067 -85866.067
No Collision
No Collision
No Collision
No Collision
No Collision
68582.457 85750.457
No Collision
87647.494 -3672.506
-109623.848 -33757.848
60226.613 46571.613
No Collision
13094.118 -9301.882
No Collision
No Collision
No Collision
13620.893 31539.893
No Collision
No Collision
98337.047 38721.047
No Collision
15560.784 55680.784
-20488.190 -124510.190
-4747275.326 -4677992.326
-35551.758 -86134.758
-78687.311 -45477.311
No Collision
No Collision
No Collision
No Collision
174235.651 139006.651
-7821953.013 -7666736.013
No Collision
18080.583 -7100.417
No Collision
115391.532 35811.532
No Collision
257119.009 208153.009
-105841.423 -129365.423
No Collision
No Collision
-15530.043 -28481.043
-31923.463 11726.537
No Collision
-416995.246 -272143.246
No Collision
-58693.028 -55624.028
-96382.199 -36308.199
-32404663.332 -32495853.332
No Collision
-475834.348 -659545.348
No Collision
No Collision
No Collision
94966.305 90192.305
No Collision
5470.873 -102466.127
No Collision
-48480.960 -51645.960
9261.708 96215.708
2725394.753 2631050.753
-8178180.023 -8246747.023
No Collision
-517720.352 -425513.352
-187046.557 -197374.557
No Collision
-47036.093 -31773.093
-128078.106 -17465.106
73788.114 55378.114
11828.693 38586.693
No Collision
-25566.572 100556.428
No Collision
No Collision
No Collision
No Collision
41318.455 138705.455
-289786.754 -172339.754
No Collision
-11330.728 55771.272
No Collision
59718.066 44379.066
No Collision
No Collision
301606.019 254679.019
No Collision
No Collision
No Collision
-261611.106 -110714.106
No Collision
No Collision
90220.621 -20840.379
No Collision
No Collision
1991952.673 2015020.673
244882.627 152150.627
56469.876 32896.876
48083.772 72066.772
243445.929 109344.929
No Collision
No Collision
No Collision
No Collision
-55041.966 -15680.966
No Collision
No Collision
No Collision
-69618.037 -83912.037
No Collision
No Collision
No Collision
-1455842.484 -1552791.484
25685.939 111730.939
No Collision
-111229.576 -190274.576
No Collision
13186.124 -29525.876
No Collision
211181.498 98291.498
No Collision
-71760.267 -132316.267
No Collision
154289.070 -19916.930
126869.962 -40629.038
-20177.611 74959.389
12039.193 27549.193
No Collision
-49842.160 -17124.160
No Collision
No Collision
No Collision
-36988.677 -22919.677
No Collision
No Collision
25018.979 61663.979
No Collision
No Collision
No Collision
No Collision
4263.420 65600.420
-236034.957 -185406.957
No Collision
29571.401 102837.401
No Collision
No Collision
No Collision
508001.808 424801.808
No Collision
-10709.382 -36644.382
-73852.011 63968.989
No Collision
No Collision
-277129.646 -215205.646
-4636199.087 -4520586.087
27375.887 56362.887
-36107.737 -50874.737
-225018.685 -305082.685
973612.185 1009346.185
No Collision
No Collision
No Collision
No Collision
-66627.922 -49923.922
No Collision
No Collision
-119229.696 -59384.696
No Collision
-179128.827 -94772.827
-92822.832 -218603.832
No Collision
No Collision
No Collision
No Collision
143736.676 228024.676
No Collision
60701.234 103098.234
21070.343 7246.343
No Collision
No Collision
41327.730 198856.730
No Collision
134085.529 -191.471
No Collision
No Collision
-1323250.987 -1502945.987
No Collision
24506.301 39994.301
-22687.097 36664.903
-35635.494 -36674.494
No Collision
No Collision
-306571.711 -251903.711
-36958481.433 -36895340.433
53960.474 59271.474
167221.013 105160.013
No Collision
-108352.620 -155977.620
No Collision
No Collision
-210366.374 -319138.374
300338.725 359893.725
No Collision
No Collision
128859.876 84131.876
248935.246 90129.246
115569.396 64209.396
No Collision
1365814.613 1510371.613
-116530.901 43959.099
51259.947 8139.947
2875284.149 2901809.149
No Collision
-2012571.695 -1953658.695
36399.688 19280.688
No Collision
-417063.285 -501883.285
No Collision
No Collision
10107.950 43192.950
No Collision
14291.278 27356.278
375329.959 464199.959
No Collision
No Collision
-177068.609 -104008.609
No Collision
No Collision
No Collision
No Collision
-103407.647 -47426.647
No Collision
18577.680 91138.680
No Collision
25230.067 23520.067
-113977.801 -22358.801
205986.958 124706.958
75130.595 180521.595
No Collision
No Collision
-1146823.180 -1199231.180
No Collision
100289.722 208494.722
109709.904 606.904
No Collision
-5818.901 -2389.901
32770.513 -4191.487
111137.182 -31305.818
No Collision
-162311.655 -131179.655
85977.736 156296.736
No Collision
No Collision
No Collision
No Collision
-61824.909 -22236.909
No Collision
33039.323 -55416.677
No Collision
No Collision
-30584706.417 -30478024.417
727.700 17081.700
63160.034 60682.034
No Collision
No Collision
No Collision
No Collision
-17204.664 -197105.664
No Collision
No Collision
No Collision
-41185.364 13833.636
No Collision
No Collision
No Collision
No Collision
No Collision
32154.287 48863.287
No Collision
No Collision
2060.281 -44832.719
No Collision
No Collision
-36566.542 -55827.542
No Collision
195630.373 249498.373
109197.025 53709.025
